City_ID,City,Latitude,Longitude,Country,Wind Speed,Max Temp,Humidity,Cloudiness,Date
0,port alfred,-33.59,26.89,ZA,24.14,60.75,44,100,1601107867
1,vao,-22.67,167.48,NC,18.34,72.75,91,20,1601107569
2,vestmannaeyjar,63.44,-20.27,IS,28.52,49.78,91,100,1601107868
3,ushuaia,-54.8,-68.3,AR,14.99,39.2,86,75,1601107868
4,kaitangata,-46.28,169.85,NZ,3.0,55.0,58,23,1601107868
5,jamestown,42.1,-79.24,US,5.82,55.99,93,1,1601107869
6,margate,51.38,1.39,GB,14.0,48.0,74,97,1601107869
7,blythe,33.61,-114.6,US,4.7,84.2,17,1,1601107869
8,atambua,-9.11,124.89,ID,0.76,83.37,55,100,1601107870
9,mataura,-46.19,168.86,NZ,5.01,54.0,67,14,1601107870
10,porto belo,-27.16,-48.55,BR,5.82,66.2,93,75,1601107870
11,bredasdorp,-34.53,20.04,ZA,12.75,50.0,87,9,1601107870
12,lavrentiya,65.58,-171.0,RU,7.72,33.91,89,2,1601107871
13,hobart,-42.88,147.33,AU,24.16,45.0,70,75,1601107613
14,kapaa,22.08,-159.32,US,17.22,80.6,74,75,1601107871
15,lahat,-3.8,103.53,ID,6.96,88.02,51,100,1601107871
16,rikitea,-23.12,-134.97,PF,15.05,73.76,85,39,1601107871
17,sorland,67.67,12.69,NO,4.7,42.8,75,75,1601107872
18,baker city,44.77,-117.83,US,5.82,53.6,76,90,1601107872
19,georgetown,5.41,100.34,MY,4.7,86.0,66,40,1601107666
20,quilali,13.57,-86.03,NI,1.07,71.13,86,100,1601107872
21,dingle,11.0,122.67,PH,8.25,84.51,80,98,1601107873
22,port blair,11.67,92.75,IN,13.6,85.35,70,16,1601107873
23,punta arenas,-53.15,-70.92,CL,36.91,44.6,65,31,1601107744
24,turbat,26.0,63.04,PK,2.73,100.83,7,0,1601107773
25,kyshtovka,56.55,76.63,RU,8.63,49.35,65,52,1601107874
26,bardiyah,31.76,25.09,LY,12.3,85.48,34,0,1601107874
27,beloha,-25.17,45.05,MG,9.62,91.2,22,0,1601107874
28,tuktoyaktuk,69.45,-133.04,CA,14.25,33.17,95,100,1601107874
29,corabia,43.78,24.5,RO,9.17,71.6,64,75,1601107874
30,port elizabeth,-33.92,25.57,ZA,36.91,60.8,38,20,1601107875
31,daru,-9.08,143.21,PG,14.32,78.15,84,57,1601107875
32,cabo san lucas,22.89,-109.91,MX,1.01,81.0,92,0,1601107665
33,kodiak,57.79,-152.41,US,10.29,48.2,81,90,1601107875
34,locri,38.24,16.26,IT,8.05,69.01,52,20,1601107876
35,dunedin,-45.87,170.5,NZ,1.99,52.0,85,15,1601107876
36,dimona,31.07,35.03,IL,4.47,78.19,52,20,1601107876
37,jhalida,23.37,85.97,IN,6.93,91.4,59,75,1601107876
38,bluff,-46.6,168.33,NZ,5.01,54.0,67,82,1601107877
39,cidreira,-30.18,-50.21,BR,16.87,63.81,88,100,1601107877
40,hilo,19.73,-155.09,US,4.7,75.2,78,40,1601107585
41,klaksvik,62.23,-6.59,FO,8.5,41.0,93,64,1601107877
42,maningrida,-12.07,134.27,AU,12.19,83.66,64,58,1601107877
43,port hardy,50.7,-127.42,CA,6.93,51.8,93,90,1601107878
44,torbay,47.67,-52.73,CA,17.22,46.0,75,5,1601107878
45,necochea,-38.55,-58.74,AR,4.0,52.0,98,100,1601107878
46,ngunguru,-35.62,174.5,NZ,8.01,63.0,90,100,1601107878
47,airai,-8.93,125.41,TL,3.47,73.85,57,100,1601107879
48,pangnirtung,66.15,-65.71,CA,6.93,37.4,55,40,1601107879
49,yellowknife,62.46,-114.35,CA,6.93,44.6,93,90,1601107630
50,victoria,22.29,114.16,HK,3.0,84.0,76,90,1601107810
51,vaini,-21.2,-175.2,TO,9.17,73.4,88,75,1601107879
52,kahului,20.89,-156.47,US,11.41,80.6,65,40,1601107879
53,namibe,-15.2,12.15,AO,5.1,66.54,74,84,1601107880
54,chuy,-33.7,-53.46,UY,6.46,58.33,94,100,1601107880
55,kruisfontein,-34.0,24.73,ZA,10.0,62.01,36,0,1601107880
56,cape town,-33.93,18.42,ZA,8.05,57.0,76,75,1601107863
57,alofi,-19.06,-169.92,NU,16.11,73.4,83,28,1601107881
